Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","CALPADS Fall 1 
Certification Status"
2018-2019,1,61176,6089619,Alameda,Fremont Unified,Warwick Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,912,112,12.30%,141,15.50%,903,112,12.40%,141,15.60%,Y
2018-2019,1,61176,6090526,Alameda,Fremont Unified,Joshua Chadbourne Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,734,39,5.30%,45,6.10%,730,39,5.30%,45,6.20%,Y
2018-2019,1,61176,6090534,Alameda,Fremont Unified,Mission San Jose Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,535,18,3.40%,21,3.90%,535,18,3.40%,21,3.90%,Y
2018-2019,1,61176,6090542,Alameda,Fremont Unified,Oliveira Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,885,169,19.10%,208,23.50%,858,165,19.20%,204,23.80%,Y
2018-2019,1,61176,6090559,Alameda,Fremont Unified,Steven Millard Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,577,86,14.90%,119,20.60%,577,86,14.90%,119,20.60%,Y
2018-2019,1,61176,6104723,Alameda,Fremont Unified,Ardenwood Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,963,90,9.30%,102,10.60%,946,90,9.50%,102,10.80%,Y
2018-2019,1,61176,6106983,Alameda,Fremont Unified,Fred E. Weibel Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,796,57,7.20%,62,7.80%,788,56,7.10%,61,7.70%,Y
2018-2019,1,61176,6111330,Alameda,Fremont Unified,Forest Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,"1,011",45,4.50%,51,5.00%,"1,011",45,4.50%,51,5.00%,Y
2018-2019,1,61192,1,Alameda,Hayward Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63,12,19.00%,12,19.00%,41,10,24.40%,10,24.40%,Y
2018-2019,1,61192,108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,Unified School District,High Schools (Public),Traditional,N/A,Yes,684,Directly funded,Y,9,12,595,255,42.90%,370,62.20%,590,253,42.90%,367,62.20%,Y
2018-2019,1,61192,111815,Alameda,Hayward Unified,Stonebrae Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,745,357,47.90%,412,55.30%,745,357,47.90%,412,55.30%,Y
2018-2019,1,61192,119248,Alameda,Hayward Unified,Golden Oak Montessori of Hayward,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1067,Directly funded,Y,1,8,249,42,16.90%,49,19.70%,249,42,16.90%,49,19.70%,Y
2018-2019,1,61192,127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,N/A,Yes,1514,Directly funded,Y,K,8,563,288,51.20%,321,57.00%,553,285,51.50%,317,57.30%,Y
2018-2019,1,61192,127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,N/A,Yes,1543,Directly funded,Y,9,12,218,110,50.50%,130,59.60%,213,107,50.20%,127,59.60%,Y
2018-2019,1,61192,131334,Alameda,Hayward Unified,Highland,Unified School District,Special Education Schools (Public),Special Education School,N/A,No ,N/A,N/A,N,K,12,23,18,78.30%,20,87.00%,23,18,78.30%,20,87.00%,Y
2018-2019,1,61192,133009,Alameda,Hayward Unified,Brenkwitz High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,161,109,67.70%,115,71.40%,123,81,65.90%,86,69.90%,Y
2018-2019,1,61192,133629,Alameda,Hayward Unified,Hayward High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,637",988,60.40%,"1,125",68.70%,"1,603",965,60.20%,"1,100",68.60%,Y
2018-2019,1,61192,135319,Alameda,Hayward Unified,Mt. Eden High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,979","1,109",56.00%,"1,294",65.40%,"1,927","1,079",56.00%,"1,260",65.40%,Y
2018-2019,1,61192,137646,Alameda,Hayward Unified,Impact Academy of Arts & Technology,Unified School District,K-12 Schools (Public),Traditional,N/A,Yes,836,Directly funded,Y,6,12,842,430,51.10%,541,64.30%,835,425,50.90%,536,64.20%,Y
2018-2019,1,61192,138339,Alameda,Hayward Unified,Tennyson High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,423",978,68.70%,"1,086",76.30%,"1,331",905,68.00%,"1,009",75.80%,Y
2018-2019,1,61192,6000889,Alameda,Hayward Unified,Bowman Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,301,199,66.10%,229,76.10%,301,199,66.10%,229,76.10%,Y
2018-2019,1,61192,6000905,Alameda,Hayward Unified,Burbank Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,867,528,60.90%,630,72.70%,853,517,60.60%,619,72.60%,Y
2018-2019,1,61192,6000913,Alameda,Hayward Unified,Cherryland Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,746,534,71.60%,567,76.00%,736,529,71.90%,561,76.20%,Y
2018-2019,1,61192,6000921,Alameda,Hayward Unified,East Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,568,333,58.60%,388,68.30%,568,333,58.60%,388,68.30%,Y
2018-2019,1,61192,6000947,Alameda,Hayward Unified,Eldridge Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,378,253,66.90%,296,78.30%,378,253,66.90%,296,78.30%,Y
2018-2019,1,61192,6000962,Alameda,Hayward Unified,Fairview Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,549,349,63.60%,406,74.00%,533,336,63.00%,392,73.50%,Y
2018-2019,1,61192,6000988,Alameda,Hayward Unified,Glassbrook Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,515,399,77.50%,414,80.40%,501,387,77.20%,402,80.20%,Y
2018-2019,1,61192,6000996,Alameda,Hayward Unified,Harder Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,569,426,74.90%,453,79.60%,569,426,74.90%,453,79.60%,Y
2018-2019,1,61192,6001044,Alameda,Hayward Unified,Longwood Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,651,491,75.40%,516,79.30%,637,484,76.00%,507,79.60%,Y
2018-2019,1,61192,6001051,Alameda,Hayward Unified,Lorin A. Eden Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,389,210,54.00%,243,62.50%,389,210,54.00%,243,62.50%,Y
2018-2019,1,61192,6001093,Alameda,Hayward Unified,Palma Ceia Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,551,366,66.40%,417,75.70%,551,366,66.40%,417,75.70%,Y
2018-2019,1,61192,6001101,Alameda,Hayward Unified,Park Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,532,386,72.60%,447,84.00%,519,377,72.60%,437,84.20%,Y
2018-2019,1,61192,6001127,Alameda,Hayward Unified,Ruus Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,486,304,62.60%,352,72.40%,468,290,62.00%,336,71.80%,Y
2018-2019,1,61192,6001135,Alameda,Hayward Unified,Schafer Park Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,778,530,68.10%,563,72.40%,763,520,68.20%,553,72.50%,Y
2018-2019,1,61192,6001176,Alameda,Hayward Unified,Southgate Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,677,368,54.40%,437,64.50%,666,358,53.80%,427,64.10%,Y
2018-2019,1,61192,6001192,Alameda,Hayward Unified,Treeview Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,461,311,67.50%,347,75.30%,461,311,67.50%,347,75.30%,Y
2018-2019,1,61192,6056931,Alameda,Hayward Unified,Bret Harte Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,605,339,56.00%,411,67.90%,605,339,56.00%,411,67.90%,Y
2018-2019,1,61192,6056949,Alameda,Hayward Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,554,357,64.40%,389,70.20%,554,357,64.40%,389,70.20%,Y
2018-2019,1,61192,6056956,Alameda,Hayward Unified,Anthony W. Ochoa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,588,323,54.90%,392,66.70%,588,323,54.90%,392,66.70%,Y
2018-2019,1,61192,6056972,Alameda,Hayward Unified,Winton Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,505,349,69.10%,374,74.10%,505,349,69.10%,374,74.10%,Y
2018-2019,1,61192,6062160,Alameda,Hayward Unified,Strobridge Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,492,324,65.90%,351,71.30%,492,324,65.90%,351,71.30%,Y
2018-2019,1,61192,6066476,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,7,8,757,452,59.70%,500,66.10%,757,452,59.70%,500,66.10%,Y
2018-2019,1,61192,6090583,Alameda,Hayward Unified,Eden Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,552,314,56.90%,351,63.60%,536,302,56.30%,339,63.20%,Y
2018-2019,1,61192,6104566,Alameda,Hayward Unified,Tyrrell Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,K,6,675,550,81.50%,571,84.60%,675,550,81.50%,571,84.60%,Y
2018-2019,1,61192,6113815,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,132,83,62.90%,101,76.50%,132,83,62.90%,101,76.50%,Y
2018-2019,1,61200,1,Alameda,Livermore Valley Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,3,14.30%,3,14.30%,17,1,5.90%,1,5.90%,Y
2018-2019,1,61200,130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,1,12,136,41,30.10%,41,30.10%,128,38,29.70%,38,29.70%,Y
2018-2019,1,61200,132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,7,12,111,70,63.10%,75,67.60%,98,62,63.30%,67,68.40%,Y
2018-2019,1,61200,133397,Alameda,Livermore Valley Joint Unified,Granada High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"2,282",416,18.20%,463,20.30%,"2,206",389,17.60%,436,19.80%,Y
2018-2019,1,61200,134536,Alameda,Livermore Valley Joint Unified,Livermore High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,878",401,21.40%,458,24.40%,"1,826",386,21.10%,440,24.10%,Y
2018-2019,1,61200,135376,Alameda,Livermore Valley Joint Unified,Lawrence Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,357,43,12.00%,48,13.40%,341,42,12.30%,47,13.80%,Y
2018-2019,1,61200,6001234,Alameda,Livermore Valley Joint Unified,Junction K-8,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,934,518,55.50%,580,62.10%,924,512,55.40%,573,62.00%,Y
2018-2019,1,61200,6001242,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,649,175,27.00%,196,30.20%,649,175,27.00%,196,30.20%,Y
2018-2019,1,61200,6001259,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,719,53,7.40%,54,7.50%,707,53,7.50%,54,7.60%,Y
2018-2019,1,61200,6001283,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,526,189,35.90%,206,39.20%,518,187,36.10%,204,39.40%,Y
2018-2019,1,61200,6001291,Alameda,Livermore Valley Joint Unified,Joe Michell,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,819,132,16.10%,164,20.00%,803,129,16.10%,161,20.00%,Y
2018-2019,1,61200,6001317,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,392,286,73.00%,305,77.80%,383,281,73.40%,300,78.30%,Y
2018-2019,1,61200,6001341,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,965,72,7.50%,82,8.50%,965,72,7.50%,82,8.50%,Y
2018-2019,1,61200,6071906,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,678,150,22.10%,158,23.30%,660,149,22.60%,157,23.80%,Y
2018-2019,1,61200,6085773,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,715,120,16.80%,139,19.40%,715,120,16.80%,139,19.40%,Y
2018-2019,1,61200,6089338,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,599,129,21.50%,143,23.90%,591,129,21.80%,142,24.00%,Y
2018-2019,1,61200,6097661,Alameda,Livermore Valley Joint Unified,Sunset Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,771,45,5.80%,51,6.60%,759,44,5.80%,49,6.50%,Y
2018-2019,1,61200,6110332,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,P,5,601,134,22.30%,151,25.10%,589,131,22.20%,148,25.10%,Y
2018-2019,1,61200,6117543,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,585,92,15.70%,100,17.10%,570,89,15.60%,97,17.00%,Y
2018-2019,1,61218,6001358,Alameda,Mountain House Elementary,Mountain House Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,K,8,17,8,47.10%,11,64.70%,17,8,47.10%,11,64.70%,Y
2018-2019,1,61234,1,Alameda,Newark Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,2,22.20%,2,22.20%,8,2,25.00%,2,25.00%,Y
2018-2019,1,61234,130054,Alameda,Newark Unified,Newark Memorial High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"1,711",671,39.20%,778,45.50%,"1,666",651,39.10%,754,45.30%,Y
2018-2019,1,61234,130484,Alameda,Newark Unified,Crossroads High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,43,26,60.50%,26,60.50%,39,23,59.00%,23,59.00%,Y
2018-2019,1,61234,135426,Alameda,Newark Unified,Bridgepoint High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,66,44,66.70%,49,74.20%,51,35,68.60%,40,78.40%,Y
2018-2019,1,61234,6001440,Alameda,Newark Unified,August Schilling Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,378,244,64.60%,281,74.30%,362,232,64.10%,269,74.30%,Y
2018-2019,1,61234,6001457,Alameda,Newark Unified,E. L. Musick Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,283,155,54.80%,176,62.20%,266,149,56.00%,170,63.90%,Y
2018-2019,1,61234,6001473,Alameda,Newark Unified,H. A. Snow Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,343,144,42.00%,176,51.30%,343,144,42.00%,176,51.30%,Y
2018-2019,1,61234,6001481,Alameda,Newark Unified,James A. Graham Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,375,208,55.50%,240,64.00%,375,208,55.50%,240,64.00%,Y
2018-2019,1,61234,6001499,Alameda,Newark Unified,Birch Grove Primary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,418,102,24.40%,118,28.20%,394,96,24.40%,110,27.90%,Y
2018-2019,1,61234,6001507,Alameda,Newark Unified,John F. Kennedy Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,404,109,27.00%,115,28.50%,386,105,27.20%,111,28.80%,Y
2018-2019,1,61234,6001523,Alameda,Newark Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,6,401,165,41.10%,191,47.60%,378,158,41.80%,183,48.40%,Y
2018-2019,1,61234,6001531,Alameda,Newark Unified,Birch Grove Intermediate,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,3,6,438,153,34.90%,181,41.30%,438,153,34.90%,181,41.30%,Y
2018-2019,1,61234,6102917,Alameda,Newark Unified,Newark Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,7,8,889,400,45.00%,470,52.90%,889,400,45.00%,470,52.90%,Y
2018-2019,1,61242,1,Alameda,New Haven Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21,2,9.50%,2,9.50%,15,2,13.30%,2,13.30%,Y
2018-2019,1,61242,110460,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Unified School District,Continuation High Schools,Continuation School,CEP,No ,N/A,N/A,N,9,12,127,52,40.90%,53,41.70%,105,43,41.00%,44,41.90%,Y
2018-2019,1,61242,110478,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,10,8,80.00%,8,80.00%,9,7,77.80%,7,77.80%,Y
2018-2019,1,61242,126763,Alameda,New Haven Unified,Decoto School for Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,K,12,121,49,40.50%,57,47.10%,108,46,42.60%,52,48.10%,Y
2018-2019,1,61242,134668,Alameda,New Haven Unified,James Logan High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,"3,635","1,235",34.00%,"1,593",43.80%,"3,541","1,189",33.60%,"1,539",43.50%,Y
2018-2019,1,61242,6001572,Alameda,New Haven Unified,Alvarado Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,726,256,35.30%,353,48.60%,712,252,35.40%,348,48.90%,Y
2018-2019,1,61242,6001606,Alameda,New Haven Unified,Hillview Crest Elementary,Unified School District,Elementary Schools (Public),Traditional,N/A,No ,N/A,N/A,N,K,5,513,293,57.10%,355,69.20%,498,285,57.20%,346,69.50%,Y
2018-2019,1,61242,6001622,Alameda,New Haven Unified,Searles Elementary,Unified School District,Elementary Schools (Public),Traditional,CEP,No ,N/A,N/A,N,K,5,662,301,45.50%,334,50.50%,647,295,45.60%,327,50.50%,Y
2018-2019,1,61242,6068266,Alameda,New Haven Unified,Itliong-Vera Cruz,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,"1,396",421,30.20%,545,39.00%,"1,396",421,30.20%,545,39.00%,Y
2018-2019,1,61242,6097679,Alameda,New Haven Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,N/A,No ,N/A,N/A,N,6,8,"1,210",591,48.80%,713,58.90%,"1,210",591,48.80%,713,58.90%,Y
